Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM4","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--crdr-roles.yaml/CrossRegionSnapshotCopySSMAutomationRole","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--crdr-roles.yaml/CrossRegionSnapshotCopySSMAutomationRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--crdr-roles.yaml/CrossRegionSnapshotCopySSMAutomationRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--crdr-roles.yaml/CrossRegionSnapshotCopySSMAutomationRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--crdr-roles.yaml/CrossRegionSnapshotCopySSMAutomationRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--crdr-roles.yaml/CrossRegionSnapshotCopySSMAutomationRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--crdr-roles.yaml/CrossRegionSnapshotCopySSMAutomationRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-SMG4","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--crdr-roles.yaml/CrossRegionSnapshotCopySSMAutomationRoleArn","Non-Compliant","N/A","Error","The secret does not have automatic rotation scheduled."
